"117,101,72"
"104,90,63"
"102,88,61"
"101,87,58"
"105,91,59"
"111,98,63"
"114,101,65"
"148,132,89"
"142,128,87"
"142,128,88"
"133,120,81"
"127,113,76"
"128,115,77"
"136,122,83"
"137,123,84"
"136,123,84"
"135,121,83"
"129,115,79"
"130,112,79"
"126,108,77"
"126,108,77"
"124,107,76"
"113,98,69"
"107,94,64"
"106,94,62"
"107,95,62"
"112,100,65"
"116,104,67"
"134,119,78"
"143,129,87"
"136,124,83"
"130,117,78"
"130,116,78"
"127,114,77"
"131,118,80"
"132,119,81"
"132,119,81"
"131,118,80"
"129,116,79"
"129,113,79"
"128,111,78"
"127,110,78"
"129,112,79"
"129,114,81"
"127,114,79"
"123,112,75"
"116,105,69"
"111,100,65"
"115,104,67"
"128,113,72"
"128,114,74"
"127,114,75"
"130,117,78"
"133,119,80"
"130,117,78"
"128,116,77"
"129,116,79"
"129,116,79"
"131,118,79"
"131,118,80"
"130,116,79"
"129,116,79"
"132,118,81"
"132,118,82"
"131,119,84"
"129,118,83"
"122,113,77"
"121,112,75"
"113,102,66"
"117,105,68"
"121,106,68"
"121,108,69"
"126,113,74"
"129,116,77"
"131,118,79"
"129,115,77"
"128,115,77"
"128,116,78"
"130,117,80"
"132,119,81"
"132,120,81"
"131,120,80"
"131,120,80"
"128,117,78"
"128,117,80"
"121,111,77"
"121,112,79"
"120,112,77"
"119,110,74"
"112,101,66"
"113,101,66"
"127,97,56"
"123,95,55"
"122,96,58"
"135,110,69"
"143,123,81"
"142,124,83"
"141,123,84"
"142,125,86"
"146,131,91"
"147,133,93"
"146,134,94"
"144,133,93"
"143,130,91"
"145,133,93"
"150,138,97"
"151,139,99"
"153,141,100"
"145,131,91"
"143,126,86"
"132,111,73"
"126,100,65"
"119,89,51"
"120,90,52"
"126,96,57"
"137,110,68"
"146,124,82"
"148,129,88"
"145,127,88"
"141,123,85"
"143,126,86"
"145,129,88"
"144,131,91"
"143,131,91"
"143,130,91"
"141,129,89"
"148,136,96"
"152,140,100"
"144,133,93"
"137,124,85"
"126,110,73"
"118,100,65"
"124,104,68"
"111,81,47"
"124,91,53"
"128,96,56"
"140,109,68"
"150,125,82"
"155,133,92"
"151,132,92"
"143,126,87"
"138,120,81"
"146,129,87"
"147,132,91"
"148,134,94"
"148,135,94"
"146,133,92"
"143,132,92"
"144,132,93"
"139,127,88"
"141,127,86"
"140,123,82"
"133,115,75"
"132,113,74"
"116,85,50"
"126,93,55"
"127,93,55"
"139,106,64"
"146,117,74"
